kind	source_file	id	json_path	sl	hr	sr	notes
content	data/govori.json	govori:scenariji.0.govori.0.naslov	scenariji.0.govori.0.naslov	Standardni uvod	Standardni uvod	Standardni uvod	
content	data/govori.json	govori:scenariji.0.govori.0.tekst	scenariji.0.govori.0.tekst	Dober dan, [ime stranke]. Tukaj [vaše ime] iz Interzero Slovenija. Kličem zato, ker delamo s podjetji, ki dajejo izdelke ali embalažo na trg, in jim urejamo EPR obveznosti, ravnanje z odpadki in poročanje na enem mestu. Pri večini podjetij vašega tipa vidimo, da se to danes razprši med različne dobavitelje in oddelke, kar prinese več dela in večje tveganje. Imate 10 minut, da preverim, ali bi tudi za vas imelo smisel pogovor?	Dobar dan, [ime kupca]. Ovo je [vaše ime] iz Interzero Slovenija. Zovem jer surađujemo s tvrtkama koje proizvode ili ambalažu stavljaju na tržište i upravljaju svojim EPR obvezama, gospodarenjem otpadom i izvješćivanjem na jednom mjestu. U većini tvrtki vašeg tipa vidimo da se to danas širi na različite dobavljače i odjele, što znači više posla i više rizika. Imate li 10 minuta da vidite bi li i vama razgovor imao smisla?	Dobar dan, [ime klijenta]. Ovo je [vaše ime] iz Interzero Slovenije. Zovem jer sarađujemo sa kompanijama koje proizvode ili ambalažu stavljaju na tržište i na jednom mestu upravljaju svojim EPR obavezama, upravljanjem otpadom i izveštavanjem. U većini kompanija vašeg tipa danas vidimo da se ovo širi među različitim dobavljačima i odeljenjima, što znači više posla i više rizika. Imate li 10 minuta da vidite da li bi razgovor imao smisla i za vas?	
content	data/govori.json	govori:scenariji.0.govori.1.naslov	scenariji.0.govori.1.naslov	Če reče: 'To že imamo urejeno'	Ako kaže: 'To smo već riješili'	Ako kaže: 'To smo već sredili'	
content	data/govori.json	govori:scenariji.0.govori.1.tekst	scenariji.0.govori.1.tekst	Razumem, večina podjetij ima nekaj urejenega. Mene zanima samo eno vprašanje: če vas jutri pokliče inšpektor in vpraša za zadnje poročilo o embalaži in odpadkih, kdo bi mu lahko v 24 urah dal vse, kar potrebuje? Če imate to brez težav, super. Če pa je odgovor 'odvisno, koga ujamem v pisarni', mislim, da bi 20-minutni pogovor lahko bil koristen.	Razumijem, većina tvrtki ima nešto na svom mjestu. Zanima me samo jedno pitanje, ako vas inspektor sutra nazove i traži zadnji izvještaj o ambalaži i otpadu, tko bi mu mogao dati sve što mu treba u roku od 24 sata? Ako nemate problema s tim, super. Ali ako je odgovor 'ovisi koga ću uhvatiti u uredu', mislim da bi razgovor od 20 minuta mogao biti koristan.	Razumem, većina kompanija ima nešto na mestu. Interesuje me samo jedno pitanje: ako vas inspektor sutra pozove i zatraži najnoviji izveštaj o ambalaži i otpadu, ko bi mu mogao dati sve što mu treba u roku od 24 sata? Ako nemate problema sa tim, odlično. Ali ako je odgovor „zavisi koga ću uhvatiti u kancelariji“, mislim da bi razgovor od 20 minuta mogao biti koristan.	
content	data/govori.json	govori:scenariji.0.govori.2.naslov	scenariji.0.govori.2.naslov	Če reče: 'Pošljite mi gradivo'	Ako kaže: 'Pošalji mi materijal'	Ako kaže: 'Pošalji mi materijal'	
content	data/govori.json	govori:scenariji.0.govori.2.tekst	scenariji.0.govori.2.tekst	Lahko, ampak iskreno: splošno gradivo vam ne bo veliko povedalo, ker je vsako podjetje drugačno glede na embalažo, lokacije in obveznosti. Lažje vam je, če 15 minut pogledava skupaj, kaj velja za vas konkretno. Potem vam pošljem samo tisto, kar je za vas relevantno. Kdaj v naslednjih dveh tednih bi imeli 15 minut?	Možete, ali iskreno: generički materijal vam neće puno reći jer je svaka tvrtka drugačija u pogledu pakiranja, lokacija i obveza. Lakše vam je ako 15 minuta zajedno pogledamo što se vama konkretno odnosi. Tada vam šaljem samo ono što je vama relevantno. Kada biste u sljedeća dva tjedna imali 15 minuta?	Možete, ali iskreno: generički materijal vam neće reći mnogo jer je svaka kompanija drugačija u pogledu pakovanja, lokacija i obaveza. Lakše vam je ako provedemo 15 minuta zajedno gledajući šta se konkretno odnosi na vas. Onda ti šaljem samo ono što je za tebe relevantno. Kada biste u naredne dve nedelje imali 15 minuta?	
content	data/govori.json	govori:scenariji.0.id	scenariji.0.id	hladen-klic			
content	data/govori.json	govori:scenariji.0.namen	scenariji.0.namen	Dobiti 20-minutni sestanek, ne prodati storitve po telefonu.	Zakažite termin od 20 minuta, a ne prodajte uslugu telefonom.	Zakažite termin od 20 minuta, a ne prodajte uslugu preko telefona.	
content	data/govori.json	govori:scenariji.0.naziv	scenariji.0.naziv	Hladen klic / prvi telefonski stik	Hladni poziv / prvi telefonski kontakt	Hladan poziv / prvi telefonski kontakt	
content	data/govori.json	govori:scenariji.0.trajanje	scenariji.0.trajanje	60–90 sekund	60-90 sekundi	60-90 sekundi	
content	data/govori.json	govori:scenariji.1.govori.0.naslov	scenariji.1.govori.0.naslov	Uvod (5 minut)	Uvod (5 minuta)	Uvod (5 minuta)	
content	data/govori.json	govori:scenariji.1.govori.0.tekst	scenariji.1.govori.0.tekst	Hvala za čas. Predlagam, da delava takole: jaz vam v dveh minutah razložim, kdo smo in s kakšnimi podjetji delamo, potem pa bi rad razumel vašo situacijo — kaj imate trenutno urejeno, kje vas zatika in kaj bi želeli izboljšati. Na koncu se bova dogovorila, ali je smiselno iti naprej, in če ja, kako. Vam to ustreza?	Hvala vam na vašem vremenu. Predlažem da radimo ovako: u dvije minute ću vam objasniti tko smo i s kakvim tvrtkama surađujemo, a zatim bih želio razumjeti vašu situaciju — što trenutno imate u redu, gdje ste zapeli i što biste htjeli poboljšati. Na kraju ćemo se dogovoriti ima li smisla ići dalje i ako ima kako. Odgovara li ti to?	Hvala vam na izdvojenom vremenu. Predlažem da radimo ovako: objasniću vam za dva minuta ko smo i sa kakvim kompanijama sarađujemo, a zatim bih želeo da razumem vašu situaciju — šta trenutno imate u redu, gde ste zaglibili i šta biste želeli da poboljšate. Na kraju ćemo se dogovoriti da li ima smisla ići dalje, i ako da, kako. Da li vam to odgovara?	
content	data/govori.json	govori:scenariji.1.govori.1.naslov	scenariji.1.govori.1.naslov	Kdo smo (1 minuta)	Tko smo mi (1 minuta)	Ko smo (1 minut)	
content	data/govori.json	govori:scenariji.1.govori.1.tekst	scenariji.1.govori.1.tekst	Interzero je del evropske skupine za okoljske storitve. V Sloveniji urejamo EPR obveznosti, ravnanje z odpadki, embalažo, sekundarne surovine, poročanje in svetovanje — torej celoten krog od trenutka, ko izdelek pristane na trgu, do trenutka, ko se materiali vrnejo v gospodarstvo. V regiji delujemo v Sloveniji, na Hrvaškem in v Srbiji, kar je pomembno za stranke, ki prodajajo na več trgih.	Interzero je dio European Environmental Services Group. U Sloveniji reguliramo EPR obveze, gospodarenje otpadom, ambalažom, sekundarnim sirovinama, izvješćivanje i savjetovanje — dakle cijeli ciklus od trenutka kada proizvod stigne na tržište do trenutka kada se materijali vraćaju u gospodarstvo. U regiji poslujemo u Sloveniji, Hrvatskoj i Srbiji, što je važno za kupce koji prodaju na više tržišta.	Interzero je deo Evropske grupe za usluge zaštite životne sredine. U Sloveniji regulišemo obaveze EPR-a, upravljanje otpadom, ambalažu, sekundarne sirovine, izveštavanje i konsalting — odnosno ceo ciklus od trenutka kada proizvod dođe na tržište do trenutka kada se materijal vrati u privredu. U regionu poslujemo u Sloveniji, Hrvatskoj i Srbiji, što je značajno za kupce koji prodaju na više tržišta.	
content	data/govori.json	govori:scenariji.1.govori.2.naslov	scenariji.1.govori.2.naslov	Prehod v discovery	Prijelaz u otkriće	Prelazak na otkriće	
content	data/govori.json	govori:scenariji.1.govori.2.tekst	scenariji.1.govori.2.tekst	Da bi vam lahko jaz danes res nekaj koristnega povedal, bi rad najprej razumel, kako vi to danes urejate. Predlagam, da gremo skozi nekaj kratkih vprašanj — ne tehničnih, bolj poslovnih. Nato vam povem, kaj bi pri vašem primeru imelo smisel.	Kako bih vam danas stvarno mogao reći nešto korisno, prvo bih želio razumjeti kako to danas uspijevate. Predlažem da prođemo kroz neka kratka pitanja — ne tehnička, više poslovna. Onda ću ti reći što bi imalo smisla u tvom slučaju.	Da bih vam danas zaista mogao reći nešto korisno, prvo bih želeo da razumem kako to danas upravljate. Predlažem da prođemo kroz neka kratka pitanja - ne tehnička, više poslovna. Onda ću vam reći šta bi imalo smisla u vašem slučaju.	
content	data/govori.json	govori:scenariji.1.govori.3.naslov	scenariji.1.govori.3.naslov	Po discoveryju, prehod v predstavitev	Nakon otkrića prijelaz na prezentaciju	Nakon otkrivanja, pređite na prezentaciju	
content	data/govori.json	govori:scenariji.1.govori.3.tekst	scenariji.1.govori.3.tekst	Na podlagi tega, kar ste povedali, vidim tri glavne stvari, ki bi jih lahko skupaj uredili: [naštej tri konkretne]. Predlagam, da vam zdaj v 10 minutah pokažem, kako bi to izgledalo v praksi. Če bo vmes kaj nejasnega, me kar ustavite.	Na temelju onoga što ste rekli, vidim tri glavne stvari koje bismo zajedno mogli razvrstati: [navedite tri specifičnosti]. Predlažem da vam sada za 10 minuta pokažem kako bi to izgledalo u praksi. Ako bude nešto nejasno između, samo me zaustavi.	Na osnovu onoga što ste rekli, vidim tri glavne stvari koje bismo mogli zajedno da rešimo: [navedite tri specifičnosti]. Predlažem da vam sada za 10 minuta pokažem kako bi to izgledalo u praksi. Ako je nešto nejasno između, samo me zaustavi.	
content	data/govori.json	govori:scenariji.1.govori.4.naslov	scenariji.1.govori.4.naslov	Zaključek in naslednji korak	Zaključak i sljedeći korak	Zaključak i sledeći korak	
content	data/govori.json	govori:scenariji.1.govori.4.tekst	scenariji.1.govori.4.tekst	Da bi šli korak naprej, predlagam tole: pošljite mi [konkreten podatek — količine embalaže, lokacije, kontakt operative], jaz vam pripravim oceno in se naslednji teden vidimo še za 30 minut, da pregleva. Vam to deluje? Lahko vam ta datum že rezerviram?	Da bismo otišli korak dalje, predlažem sljedeće: pošaljite mi [konkretne informacije — količine pakiranja, lokacije, operativni kontakt], pripremit ću vam predračun i vidimo se sljedeći tjedan na još 30 minuta da razgovaramo. Radi li vam ovo? Mogu li već rezervirati ovaj datum za vas?	Da bismo otišli ​​korak dalje, predlažem vam ovo: pošaljite mi [konkretne informacije — količine pakovanja, lokacije, operativni kontakt], pripremiću vam procenu i naći ćemo se sledeće nedelje na još 30 minuta da razgovaramo. Da li ovo radi za vas? Mogu li već rezervisati ovaj datum za vas?	
content	data/govori.json	govori:scenariji.1.id	scenariji.1.id	prvi-sestanek			
content	data/govori.json	govori:scenariji.1.namen	scenariji.1.namen	Razumeti kontekst, vzpostaviti zaupanje, dogovoriti naslednji korak.	Razumjeti kontekst, uspostaviti povjerenje, dogovoriti sljedeći korak.	Razumeti kontekst, uspostaviti poverenje, dogovoriti se o sledećem koraku.	
content	data/govori.json	govori:scenariji.1.naziv	scenariji.1.naziv	Prvi sestanek pri stranki	Prvi sastanak s klijentom	Prvi sastanak sa klijentom	
content	data/govori.json	govori:scenariji.1.trajanje	scenariji.1.trajanje	45–60 minut, struktura: 5 + 25 + 10 + 10	45-60 minuta, struktura: 5 + 25 + 10 + 10	45-60 minuta, struktura: 5 + 25 + 10 + 10	
content	data/govori.json	govori:scenariji.2.govori.0.naslov	scenariji.2.govori.0.naslov	Splošni okvir	Opći okvir	Opšti okvir	
content	data/govori.json	govori:scenariji.2.govori.0.tekst	scenariji.2.govori.0.tekst	Tipično pri stranki vašega profila imamo tri sklope storitev, ki delujejo skupaj. Prvi je urejanje EPR obveznosti — torej da kot proizvajalec ali uvoznik izpolnite zakonske zahteve glede embalaže, EE-opreme ali baterij. Drugi je operativno ravnanje z odpadki na lokaciji — odvozi, ločevanje, dokumentacija. Tretji je poročanje in podpora — letna poročila, ESG vprašalniki, podpora pri inšpekcijah in spremembah zakonodaje. Kateri od teh sklopov je za vas trenutno najbolj boleč?	Obično na vašem profilu klijenta imamo tri skupa usluga koje rade zajedno. Prvi je reguliranje EPR obveza — to jest, kao proizvođač ili uvoznik, pridržavate se zakonskih zahtjeva u vezi s pakiranjem, EE opremom ili baterijama. Drugi je operativno gospodarenje otpadom na lokaciji — odvoz, odvajanje, dokumentacija. Treće je izvješćivanje i podrška — godišnja izvješća, ESG upitnici, podrška inspekcijama i zakonske promjene. Koji od ovih skupova vam je trenutno najbolniji?	Obično kod vašeg klijenta profila imamo tri skupa usluga koje rade zajedno. Prvi je regulisanje EPR obaveza — to jest, kao proizvođač ili uvoznik, poštujete zakonske zahteve u vezi sa pakovanjem, EE opremom ili baterijama. Drugi je operativno upravljanje otpadom na lokaciji — uklanjanje, separacija, dokumentacija. Treći je izveštavanje i podrška — godišnji izveštaji, ESG upitnici, podrška inspekcijama i zakonskim promenama. Koji od ovih kompleta vam je trenutno najbolniji?	
content	data/govori.json	govori:scenariji.2.govori.1.naslov	scenariji.2.govori.1.naslov	Kratka prodajna zgodba (iz strateškega dokumenta)	Kratka priča o prodaji (iz strateškog dokumenta)	Kratka priča o prodaji (iz dokumenta strategije)	
content	data/govori.json	govori:scenariji.2.govori.1.tekst	scenariji.2.govori.1.tekst	Pri večini podjetij se ravnanje z odpadki, embalaža, poročanje in zakonodajne obveznosti razvijajo po delih. Nekaj ureja operativa, nekaj računovodstvo, nekaj HSE, nekaj zunanji izvajalci. Težava nastane, ko se spremeni zakonodaja, ko se odpre nova lokacija ali ko vodstvo vpraša, koliko nas to dejansko stane in kje imamo tveganja. Naš pristop je, da najprej pregledamo trenutno stanje, potem pa uredimo model, ki je pravilen za lokalni trg in dovolj pregleden za vodstvo. Cilj ni prodati čim več posameznih storitev, ampak postaviti rešitev, ki podjetju zmanjša delo, tveganje in nepotrebne stroške.	Za većinu tvrtki, gospodarenje otpadom, pakiranje, izvješćivanje i regulatorne obveze razvijaju se postupno. Nekima se bavi operativa, nekima računovodstvo, nekima HSE, nekima vanjski izvođači. Problem nastaje kad se promijeni zakonska regulativa, kad se otvori nova lokacija ili kad menadžment pita koliko nas to zapravo košta i gdje imamo rizike. Naš pristup je prvo sagledati trenutno stanje, a zatim dogovoriti model koji je prikladan za lokalno tržište i dovoljno transparentan za menadžment. Cilj nije prodati što više pojedinačnih usluga, već postaviti rješenje koje smanjuje posao, rizik i nepotrebne troškove za tvrtku.	Za većinu kompanija, upravljanje otpadom, pakovanje, izveštavanje i regulatorne obaveze se razvijaju po deo. Nekima upravljaju operacije, nekima računovodstvo, nekima HSE, nekima spoljni izvođači. Problem nastaje kada se promeni zakonska regulativa, kada se otvori nova lokacija ili kada menadžment pita koliko nas to zapravo košta i gde imamo rizike. Naš pristup je da prvo razmotrimo trenutnu situaciju, a zatim napravimo model koji odgovara lokalnom tržištu i dovoljno transparentan za menadžment. Cilj nije da se proda što više pojedinačnih usluga, već da se postavi rešenje koje smanjuje rad, rizik i nepotrebne troškove kompanije.	
content	data/govori.json	govori:scenariji.2.id	scenariji.2.id	predstavitev			
content	data/govori.json	govori:scenariji.2.namen	scenariji.2.namen	Povezati bolečine z Interzero rešitvijo, ne predstaviti kataloga.	Povezivati ​​bol s Interzero rješenjem, a ne predstavljati katalog.	Povezati bol sa Interzero rešenjem, a ne predstavljati katalog.	
content	data/govori.json	govori:scenariji.2.naziv	scenariji.2.naziv	Predstavitev rešitve	Prezentacija rješenja	Prezentacija rešenja	
content	data/govori.json	govori:scenariji.2.trajanje	scenariji.2.trajanje	10–20 minut	10-20 minuta	10-20 minuta	
content	data/govori.json	govori:scenariji.3.govori.0.naslov	scenariji.3.govori.0.naslov	Po prvem sestanku	Nakon prvog susreta	Posle prvog sastanka	
content	data/govori.json	govori:scenariji.3.govori.0.tekst	scenariji.3.govori.0.tekst	Pozdravljeni [ime],\n\nhvala za današnji čas. Da povzamem, o čemer sva se dogovorila:\n\n• Glavne teme, ki ste jih izpostavili: [seznam].\n• Predlagana rešitev z naše strani: [kratek opis].\n• Naslednji korak: [konkreten korak, datum].\n• Podatki, ki jih pošljete: [konkreten seznam].\n\nČe sem kaj pomembnega izpustil, mi prosim sporočite. Sicer računam, da se slišiva [datum].\n\nLep pozdrav,\n[ime]	Pozdrav [ime],\n\nhvala vam na vašem vremenu danas. Da rezimiramo oko čega smo se dogovorili:\n\n• Glavne teme koje ste istaknuli: [popis].\n• Prijedlog rješenja s naše strane: [kratak opis].\n• Sljedeći korak: [određeni korak, datum].\n• Podaci koje šaljete: [određeni popis].\n\nAko sam nešto važno propustio, javite mi. U suprotnom, očekujem vaš odgovor [datum].\n\nSrdačan pozdrav,\n[ime]	Zdravo [ime],\n\nhvala vam na vašem vremenu danas. Da rezimiramo ono oko čega smo se dogovorili:\n\n• Glavne teme koje ste istakli: [list].\n• Predloženo rešenje sa naše strane: [kratak opis].\n• Sledeći korak: [određeni korak, datum].\n• Informacije koje šaljete: [specifična lista].\n\nAko sam propustio nešto važno, javite mi. Inače, očekujem da se javite [datum].\n\nSrdačan pozdrav,\n[ime]	
content	data/govori.json	govori:scenariji.3.govori.1.naslov	scenariji.3.govori.1.naslov	Po poslani ponudbi	Nakon poslane ponude	Posle poslate ponude	
content	data/govori.json	govori:scenariji.3.govori.1.tekst	scenariji.3.govori.1.tekst	Pozdravljeni [ime],\n\npriložena je ponudba za [obseg]. Glavna logika je naslednja:\n\n• [Točka 1 — ključna vrednost]\n• [Točka 2 — ključna vrednost]\n• [Točka 3 — ključna vrednost]\n\nVeljavnost ponudbe je [datum]. Predlagam, da se v začetku prihodnjega tedna slišiva za 15 minut, da odgovorim na morebitna vprašanja. Vam ustreza [datum/ura]?\n\nLep pozdrav,\n[ime]	Pozdrav [ime],\n\nu prilogu je ponuda za [opseg]. Glavna logika je sljedeća:\n\n• [Točka 1 — ključna vrijednost]\n• [2. točka — ključna vrijednost]\n• [Točka 3 — Ključna vrijednost]\n\nPonuda vrijedi [datum]. Predlažem da se nađemo na 15 minuta početkom sljedećeg tjedna kako bismo odgovorili na sva vaša pitanja. Je li [datum/vrijeme] prikladan za vas?\n\nSrdačan pozdrav,\n[ime]	Zdravo [ime],\n\ncitat za [opseg] je priložen. Glavna logika je sledeća:\n\n• [Tačka 1 — Ključna vrednost]\n• [Tačka 2 — Ključna vrednost]\n• [Tačka 3 — Ključna vrednost]\n\nPonuda važi na [datum]. Predlažem da se sastanemo na 15 minuta početkom sledeće nedelje da odgovorimo na sva vaša pitanja. Da li je [datum/vreme] pogodan za vas?\n\nSrdačan pozdrav,\n[ime]	
content	data/govori.json	govori:scenariji.3.govori.2.naslov	scenariji.3.govori.2.naslov	Po neodzivnosti (po 7–10 dneh)	Nakon nereagiranja (nakon 7-10 dana)	Nakon nereagovanja (posle 7-10 dana)	
content	data/govori.json	govori:scenariji.3.govori.2.tekst	scenariji.3.govori.2.tekst	Pozdravljeni [ime],\n\nse vam oglašam, ker še nisem prejel povratne informacije glede ponudbe za [obseg]. Razumem, da je obdobje pri vas verjetno polno. Mene v tem trenutku zanima samo eno: ali še ima smisel, da pričakujem odgovor, ali je trenutno tema premaknjena na kasneje? Oba odgovora sta zame koristna.\n\nLep pozdrav,\n[ime]	Pozdrav [ime],\n\nObraćam vam se jer još nisam dobio povratnu informaciju o ponudi za [opseg]. Razumijem da ti je menstruacija vjerojatno puna. Zanima me trenutno samo jedno: ima li još smisla očekivati ​​odgovor ili je tema trenutno pomaknuta na neki kasniji datum? Oba odgovora su mi korisna.\n\nSrdačan pozdrav,\n[ime]	Zdravo [ime],\n\nKontaktiram vas jer još nisam dobio povratne informacije o ponudi za [scope]. Razumem da vam je menstruacija verovatno puna. Mene trenutno zanima samo jedno: da li još uvek ima smisla očekivati odgovor ili je tema trenutno pomerena za kasniji datum? Oba odgovora su mi korisna.\n\nSrdačan pozdrav,\n[ime]	
content	data/govori.json	govori:scenariji.3.govori.3.naslov	scenariji.3.govori.3.naslov	Po neodzivnosti — drugi poskus (po 3 tednih)	Nakon nereagiranja — drugi pokušaj (nakon 3 tjedna)	Nakon nereagovanja — drugi pokušaj (posle 3 nedelje)	
content	data/govori.json	govori:scenariji.3.govori.3.tekst	scenariji.3.govori.3.tekst	Pozdravljeni [ime],\n\ngrem mimo z eno preprosto možnostjo: če se v naslednjem tednu ne slišiva, bom to temo zaprl iz svojega aktivnega seznama in se vrnem čez tri mesece. Če pa želite, da nadaljujeva že zdaj, mi prosim odgovorite na to sporočilo z 'da' — tudi brez razlage. Razumem, da je tih signal lahko tudi odgovor.\n\nLep pozdrav,\n[ime]	Pozdrav [ime],\n\nOdlazim s jednom jednostavnom opcijom: ako nam se ne javite sljedeći tjedan, zatvorit ću ovu temu sa svog aktivnog popisa i vratiti se za tri mjeseca. Ali ako želite da odmah nastavimo, odgovorite na ovu poruku s 'da' — čak i bez objašnjenja. Razumijem da tihi signal također može biti odgovor.\n\nSrdačan pozdrav,\n[ime]	Zdravo [ime],\n\nProlazim sa jednom jednostavnom opcijom: ako se ne čujemo sa vama sledeće nedelje, zatvoriću ovu temu sa svoje aktivne liste i vratiti se za tri meseca. Ali ako želite da nastavimo odmah, odgovorite na ovu poruku sa „da“ — čak i bez objašnjenja. Razumem da tihi signal takođe može biti odgovor.\n\nSrdačan pozdrav,\n[ime]	
content	data/govori.json	govori:scenariji.3.id	scenariji.3.id	follow-up			
content	data/govori.json	govori:scenariji.3.namen	scenariji.3.namen	Vzdrževati moment in dokumentirati dogovore.	Održavajte zamah i dokumentirajte sporazume.	Održavajte zamah i dokumentujte sporazume.	
content	data/govori.json	govori:scenariji.3.naziv	scenariji.3.naziv	Follow-up emaili	Naknadne e-poruke	E-poruke za praćenje	
content	data/i18n.json	i18n:_jeziki.0	_jeziki.0	sl			
content	data/i18n.json	i18n:_jeziki.1	_jeziki.1	hr			
content	data/i18n.json	i18n:_jeziki.2	_jeziki.2	sr			
content	data/i18n.json	i18n:_opis	_opis	Prevodi za UI elemente. Vsebina (govori, ugovori, vsebine itd.) ima svoje JSON-e — to so samo UI nalepke. Trenutno prevedeni so: navigacija, naslovi strani, glavni gumbi.	Prijevodi za elemente korisničkog sučelja. Sadržaj (govor, primjedbe, sadržaj itd.) ima vlastite JSON-ove — to su samo UI oznake. Trenutno prevedeno: navigacija, naslovi stranica, glavni gumbi.	Prevodi za elemente korisničkog interfejsa. Sadržaj (govor, primedbe, sadržaj, itd.) ima sopstvene JSON-ove — to su samo oznake korisničkog interfejsa. Trenutno prevedeno: navigacija, naslovi stranica, glavna dugmad.	
content	data/i18n.json	i18n:_status	_status	UI prevedeno. Vsebina ostaja v slovenščini v tej verziji.	UI prevedeno. Sadržaj ostaje na slovenskom jeziku u ovoj verziji.	UI preveden. U ovoj verziji sadržaj ostaje na slovenačkom jeziku.	
content	data/i18n.json	i18n:common.beri_prikazane.hr	common.beri_prikazane.hr	🔊 Čitaj prikazane	🔊 Čitaj prikazane	🔊 Čitaj prikazane	
content	data/i18n.json	i18n:common.beri_prikazane.sl	common.beri_prikazane.sl	🔊 Beri prikazane	🔊 Čitaj prikazane	🔊 Čitaj prikazane	
content	data/i18n.json	i18n:common.beri_scenarij.hr	common.beri_scenarij.hr	🔊 Čitaj cijeli scenarij	🔊 Čitaj cijeli scenarij	🔊 Čitaj ceo scenario	
content	data/i18n.json	i18n:common.beri_scenarij.sl	common.beri_scenarij.sl	🔊 Beri ves scenarij	🔊 Čitaj cijeli scenarij	🔊 Čitaj ceo scenario	
content	data/i18n.json	i18n:common.beri_scenarij.sr	common.beri_scenarij.sr	🔊 Čitaj ceo scenario	🔊 Čitaj cijeli scenarij	🔊 Čitaj ceo scenario	
content	data/i18n.json	i18n:common.beri.hr	common.beri.hr	Čitaj	Čitaj	Čitaj	
content	data/i18n.json	i18n:common.beri.sl	common.beri.sl	Beri	Čitaj	Čitaj	
content	data/i18n.json	i18n:common.copy_error.hr	common.copy_error.hr	Kopiranje nije uspjelo. Označi tekst ručno.	Kopiranje nije uspjelo. Označi tekst ručno.	Kopiranje nije uspelo. Označi tekst ručno.	
content	data/i18n.json	i18n:common.copy_error.sl	common.copy_error.sl	Kopiranje ni uspelo. Označi tekst ročno.	Kopiranje nije uspjelo. Označi tekst ručno.	Kopiranje nije uspelo. Označi tekst ručno.	
content	data/i18n.json	i18n:common.copy_error.sr	common.copy_error.sr	Kopiranje nije uspelo. Označi tekst ručno.	Kopiranje nije uspjelo. Označi tekst ručno.	Kopiranje nije uspelo. Označi tekst ručno.	
content	data/i18n.json	i18n:common.daljsi_odgovor.hr	common.daljsi_odgovor.hr	Duži odgovor i napomena	Duži odgovor i napomena	Duži odgovor i napomena	
content	data/i18n.json	i18n:common.daljsi_odgovor.sl	common.daljsi_odgovor.sl	Daljši odgovor in opomba	Duži odgovor i napomena	Duži odgovor i napomena	
content	data/i18n.json	i18n:common.danes.hr	common.danes.hr	Danas	Danas	Danas	
content	data/i18n.json	i18n:common.danes.sl	common.danes.sl	Danes	Danas	Danas	
content	data/i18n.json	i18n:common.dodaj.sl	common.dodaj.sl	Dodaj	Dodaj	Dodaj	
content	data/i18n.json	i18n:common.filtri.sl	common.filtri.sl	Filtri	Filtri	Filteri	
content	data/i18n.json	i18n:common.filtri.sr	common.filtri.sr	Filteri	Filtri	Filteri	
content	data/i18n.json	i18n:common.iskanje.hr	common.iskanje.hr	Pretraga	Pretraga	Pretraga	
content	data/i18n.json	i18n:common.iskanje.sl	common.iskanje.sl	Iskanje	Pretraga	Pretraga	
content	data/i18n.json	i18n:common.izberi.hr	common.izberi.hr	Odaberi	Odaberi	Izaberi	
content	data/i18n.json	i18n:common.izberi.sl	common.izberi.sl	Izberi	Odaberi	Izaberi	
content	data/i18n.json	i18n:common.izberi.sr	common.izberi.sr	Izaberi	Odaberi	Izaberi	
content	data/i18n.json	i18n:common.izbrisi.hr	common.izbrisi.hr	Obriši	Obriši	Obriši	
content	data/i18n.json	i18n:common.izbrisi.sl	common.izbrisi.sl	Izbriši	Obriši	Obriši	
content	data/i18n.json	i18n:common.izvozi.hr	common.izvozi.hr	Izvezi	Izvezi	Izvezi	
content	data/i18n.json	i18n:common.izvozi.sl	common.izvozi.sl	Izvozi	Izvezi	Izvezi	
content	data/i18n.json	i18n:common.kategorija.sl	common.kategorija.sl	Kategorija	Kategorija	Kategorija	
content	data/i18n.json	i18n:common.kopiraj.sl	common.kopiraj.sl	Kopiraj	Kopiraj	Kopiraj	
content	data/i18n.json	i18n:common.kopirano.sl	common.kopirano.sl	✓ Kopirano	✓ Kopirano	✓ Kopirano	
content	data/i18n.json	i18n:common.kratek_odgovor.hr	common.kratek_odgovor.hr	Kratak odgovor (za sastanak)	Kratak odgovor (za sastanak)	Kratak odgovor (za sastanak)	
content	data/i18n.json	i18n:common.kratek_odgovor.sl	common.kratek_odgovor.sl	Kratek odgovor (za na sestanku)	Kratak odgovor (za sastanak)	Kratak odgovor (za sastanak)	
content	data/i18n.json	i18n:common.nadaljuj.hr	common.nadaljuj.hr	Nastavi	Nastavi	Nastavi	
content	data/i18n.json	i18n:common.nadaljuj.sl	common.nadaljuj.sl	Nadaljuj	Nastavi	Nastavi	
content	data/i18n.json	i18n:common.nalagam.hr	common.nalagam.hr	Učitavam…	Učitavam…	Učitavam…	
content	data/i18n.json	i18n:common.nalagam.sl	common.nalagam.sl	Nalagam…	Učitavam…	Učitavam…	
content	data/i18n.json	i18n:common.nalaganje_error.hr	common.nalaganje_error.hr	Ne mogu učitati podatke. Pokreni aplikaciju preko lokalnog servera.	Ne mogu učitati podatke. Pokreni aplikaciju preko lokalnog servera.	Ne mogu da učitam podatke. Pokreni aplikaciju preko lokalnog servera.	
content	data/i18n.json	i18n:common.nalaganje_error.sl	common.nalaganje_error.sl	Ne morem naložiti podatkov. Aplikacijo poženi prek lokalnega strežnika.	Ne mogu učitati podatke. Pokreni aplikaciju preko lokalnog servera.	Ne mogu da učitam podatke. Pokreni aplikaciju preko lokalnog servera.	
